village,long,lat,nobs,case
Aima Para,89.06,25.25,11,1
Aima Para,89.06,25.26,7,1
Anantapur,89.01,24.93,35,1
Anantapur,89.01,24.94,10,1
Atrai,88.63,24.6,11,1
Atrai,88.63,24.61,23,1
Badiarpara,89.65,24.67,1,1
Badiarpara,89.65,24.71,41,1
Baligram,88.27,24.59,12,1
Baligram,88.28,24.59,24,1
Baligram,89.17,25.15,32,1
Bhanuikusalia,88.98,25.15,17,1
Bhanuikusalia,88.99,25.15,16,1
Binail,89.21,25.1,2,1
Binail,89.22,25.1,25,1
Binail,NA,NA,6,1
Boalia,89.54,24.37,27,1
Boalia,89.54,24.38,12,1
ChakSatra,89.49,24.55,13,1
ChakSatra,89.5,24.55,21,1
Chandpur,88.26,24.75,29,1
Chandpur,88.27,24.75,8,1
CharAngaru,89.55,24.2,39,1
CharAngaru,89.55,24.21,3,1
CharRoypur,89.7,24.44,18,1
CharRoypur,89.71,24.44,13,1
ChhotaBanagram,88.62,24.38,12,1
ChhotaBanagram,88.62,24.39,12,1
ChowdhuryGhughat,89.5,24.44,2,1
ChowdhuryGhughat,89.51,24.44,40,1
DakbanlaPara,88.32,24.82,9,1
DakbanlaPara,88.33,24.82,22,1
DakshinMajhgaon,88.89,24.57,20,1
DakshinMajhgaon,88.9,24.57,21,1
Damodarpur,88.99,25.18,3,1
Damodarpur,88.99,25.19,28,1
Gopalpur,89.08,24.97,26,1
Gopalpur,89.09,24.97,4,1
GoptamanikPart,88.24,24.69,44,1
GoptamanikPart,88.25,24.69,7,1
Hakimpur,88.22,24.48,7,1
Hakimpur,88.23,24.47,8,1
Hakimpur,88.23,24.48,12,1
Hantanabaz,89.16,24.99,28,1
Hantanabaz,89.16,25,7,1
Haripur,88.25,24.9,15,1
Haripur,88.26,24.9,13,1
Iazpur,88.45,24.56,16,1
Iazpur,88.46,24.56,17,1
Iazpur,NA,NA,10,1
Ishwarpur,88.92,25.13,8,1
Ishwarpur,88.93,25.13,49,1
JasaPara,88.87,24.47,3,1
JasaPara,88.87,24.48,40,1
JasaPara,88.88,24.47,7,1
JhairaMondalpara,88.2,24.53,5,1
JhairaMondalpara,88.21,24.53,33,1
KalabariaHossainpur,88.77,24.22,9,1
KalabariaHossainpur,88.77,24.23,24,1
Kalai,89.17,25.06,22,1
Kalai,NA,NA,14,1
Kalidasganti,89.62,24.48,15,1
Kalidasganti,89.63,24.48,22,1
Kalinagar,88.2,24.58,9,1
Kalinagar,88.21,24.58,32,1
Kalinagar,88.21,24.86,35,1
Kamabari,88.85,24.59,22,1
Kamabari,88.86,24.59,9,1
KamalMarich,89.42,24.3,21,1
KamalMarich,89.43,24.3,14,1
KanthalbariaDakshin,88.85,24.37,12,1
KanthalbariaDakshin,88.86,24.37,22,1
Karai,89.08,25.1,33,1
Karai,NA,NA,7,1
KhanchantalaNama,88.3,24.83,22,1
KhanchantalaNama,NA,NA,9,1
Khorapara,88.27,24.57,25,1
Khorapara,88.28,24.57,1,1
MadanpurGaharmabona,88.47,24.37,25,1
MadanpurGaharmabona,88.48,24.37,19,1
Madhabpur,89.42,24.41,10,1
Madhabpur,89.42,24.42,26,1
Madhabpur,89.43,24.41,2,1
MilikLakshmipur,88.78,24.26,2,1
MilikLakshmipur,88.79,24.26,43,1
Nachole(Part),88.41,24.72,36,1
Nachole(Part),88.42,24.72,2,1
NamoSankarbati,88.26,24.57,31,1
NamoSankarbati,88.27,24.57,1,1
NamoSankarbati,NA,NA,3,1
NotunBazar,88.33,24.82,33,1
NotunBazar,88.33,24.83,9,1
Palsa,88.74,24.5,23,1
Palsa,88.74,24.51,15,1
Palsa,88.75,24.5,1,1
PaschimMirzapur,88.36,24.73,38,1
PaschimMirzapur,88.37,24.73,7,1
Poschim Deogram,89.07,24.98,4,1
Poschim Deogram,89.07,24.99,13,1
Poschim Deogram,89.08,24.99,17,1
Purbapara,89.61,24.48,38,1
Purbapara,89.62,24.48,2,1
Saheb Para,89.02,25.1,28,1
Saheb Para,NA,NA,13,1
SarbaTulsi,89.66,24.27,3,1
SarbaTulsi,89.66,24.28,33,1
SarbaTulsi,89.67,24.28,3,1
Sthalbari,89.58,24.67,19,1
Sthalbari,89.58,24.68,23,1
Suranpur,88.19,24.93,31,1
Suranpur,88.2,24.93,9,1
Tarapani,89.14,25.09,39,1
Tarapani,NA,NA,4,1
Teghar Bisa,89.02,25.08,14,1
Teghar Bisa,89.02,25.09,22,1
Telihar,89.08,25.15,10,1
Telihar,89.09,25.15,33,1
Telihar,89.09,25.16,3,1
TikrampurNamoParaBahir,88.24,24.59,1,1
TikrampurNamoParaBahir,88.25,24.59,25,1
UttarNaodaPara,88.6,24.4,4,1
UttarNaodaPara,88.6,24.41,33,1
Khorapara,88.27,24.57,25,2
NamoSankarbati,88.27,24.57,1,2
DakbanlaPara,88.33,24.82,22,2
NotunBazar,88.33,24.82,33,2
Kalidasganti,89.62,24.48,15,2
Purbapara,89.62,24.48,2,2
